timestamp,device_timestamp,CH0,CH1,CH2,CH3,CH4,CH5,CH6,CH7,T1_board,T2_board,mean,setpoint,P,I,D
2026-06-07T11:49:14.253486,242324499,38.99,39.65,40.12,40.15,40.37,40.49,40.37,40.05,32.94,34.51,40.02,40.0,-5.38,1694.29,0.0
2026-06-07T11:49:15.263276,242325534,38.99,39.65,40.12,40.15,40.37,40.49,40.33,39.99,32.94,34.5,39.99,40.0,2.44,1694.39,0.0
2026-06-07T11:49:16.258524,242326569,39.02,39.65,40.12,40.15,40.4,40.49,40.37,40.02,32.95,34.5,40.02,40.0,-5.38,1694.17,0.0
2026-06-07T11:49:17.259202,242327604,38.99,39.65,40.12,40.15,40.37,40.49,40.37,40.02,32.94,34.5,39.99,40.0,2.44,1694.27,0.0
2026-06-07T11:49:18.259045,242328640,38.99,39.68,40.15,40.15,40.4,40.49,40.37,40.02,32.96,34.49,40.02,40.0,-5.38,1694.05,0.0
2026-06-07T11:49:19.258857,242329674,38.99,39.65,40.12,40.15,40.4,40.49,40.37,40.02,32.94,34.5,40.02,40.0,-5.38,1693.84,0.0
2026-06-07T11:49:20.255784,242330709,38.99,39.68,40.12,40.15,40.37,40.46,40.33,39.99,32.94,34.48,39.99,40.0,2.44,1693.93,0.0
2026-06-07T11:49:21.259455,242331744,38.99,39.68,40.15,40.15,40.37,40.43,40.37,40.02,32.94,34.48,39.99,40.0,2.44,1694.03,0.0
2026-06-07T11:49:22.259803,242332780,38.99,39.65,40.12,40.15,40.37,40.49,40.33,40.02,32.94,34.48,39.99,40.0,2.44,1694.13,0.0
2026-06-07T11:49:23.260030,242333815,38.99,39.68,40.12,40.18,40.4,40.46,40.33,40.02,32.94,34.46,40.02,40.0,-5.38,1693.91,0.0
2026-06-07T11:49:24.258313,242334850,38.99,39.61,40.12,40.18,40.37,40.46,40.4,39.99,32.95,34.48,39.99,40.0,2.44,1694.01,0.0
2026-06-07T11:49:25.259348,242335885,38.96,39.65,40.12,40.15,40.37,40.49,40.37,40.02,32.95,34.47,39.99,40.0,2.44,1694.11,0.0
2026-06-07T11:49:26.258910,242336923,38.96,39.61,40.12,40.15,40.37,40.46,40.37,40.02,32.95,34.48,39.99,40.0,2.44,1694.21,0.0
2026-06-07T11:49:27.259858,242337959,38.96,39.65,40.12,40.18,40.4,40.46,40.33,40.02,32.95,34.49,39.99,40.0,2.44,1694.31,0.0
2026-06-07T11:49:28.259648,242338995,38.96,39.65,40.15,40.15,40.4,40.49,40.33,40.02,32.95,34.48,39.99,40.0,2.44,1694.4,0.0
2026-06-07T11:49:29.263987,242340029,38.99,39.68,40.15,40.18,40.37,40.46,40.37,40.05,32.95,34.47,40.02,40.0,-5.38,1694.19,0.0
2026-06-07T11:49:30.259173,242341064,38.99,39.65,40.12,40.15,40.37,40.52,40.37,40.02,32.98,34.48,40.02,40.0,-5.38,1693.97,0.0
2026-06-07T11:49:31.258804,242342099,38.99,39.68,40.12,40.18,40.4,40.46,40.33,40.05,32.94,34.46,40.02,40.0,-5.38,1693.76,0.0
2026-06-07T11:49:32.259135,242343135,38.96,39.65,40.12,40.15,40.37,40.52,40.33,40.02,32.95,34.49,39.99,40.0,2.44,1693.85,0.0
2026-06-07T11:49:33.264134,242344169,38.99,39.61,40.12,40.15,40.37,40.49,40.37,40.05,32.95,34.46,39.99,40.0,2.44,1693.95,0.0
2026-06-07T11:49:34.258632,242345208,38.96,39.61,40.12,40.15,40.37,40.49,40.37,40.05,32.97,34.47,39.99,40.0,2.44,1694.05,0.0
2026-06-07T11:49:35.270275,242346243,38.99,39.65,40.08,40.18,40.37,40.49,40.37,40.02,32.95,34.49,39.99,40.0,2.44,1694.15,0.0
2026-06-07T11:49:36.259885,242347278,38.96,39.65,40.15,40.18,40.4,40.52,40.37,40.02,32.94,34.47,40.02,40.0,-5.38,1693.93,0.0
2026-06-07T11:49:37.262030,242348313,38.99,39.68,40.12,40.15,40.37,40.49,40.37,40.02,32.95,34.45,40.02,40.0,-5.38,1693.72,0.0
2026-06-07T11:49:38.265452,242349348,38.96,39.65,40.15,40.15,40.37,40.49,40.33,39.99,32.96,34.46,39.99,40.0,2.44,1693.81,0.0
2026-06-07T11:49:39.260294,242350382,38.96,39.68,40.12,40.15,40.37,40.49,40.33,40.02,32.95,34.47,39.99,40.0,2.44,1693.91,0.0
2026-06-07T11:49:40.258932,242351417,38.99,39.65,40.08,40.18,40.37,40.49,40.33,40.02,32.93,34.48,39.99,40.0,2.44,1694.01,0.0
2026-06-07T11:49:41.259371,242352453,38.99,39.68,40.08,40.15,40.4,40.49,40.37,40.05,32.95,34.47,40.02,40.0,-5.38,1693.8,0.0
2026-06-07T11:49:42.258759,242352453,38.99,39.68,40.08,40.15,40.4,40.49,40.37,40.05,32.95,34.47,40.02,40.0,-5.38,1693.8,0.0
2026-06-07T11:49:43.269014,242353490,38.99,39.65,40.12,40.18,40.37,40.46,40.33,40.05,32.95,34.47,39.99,40.0,2.44,1693.89,0.0
2026-06-07T11:49:44.254607,242354526,38.96,39.65,40.12,40.15,40.4,40.46,40.37,40.02,32.95,34.48,39.99,40.0,2.44,1693.99,0.0
2026-06-07T11:49:45.259170,242355561,38.96,39.65,40.12,40.12,40.4,40.49,40.37,40.05,32.94,34.46,39.99,40.0,2.44,1694.09,0.0
2026-06-07T11:49:46.259235,242356597,38.99,39.65,40.12,40.15,40.37,40.49,40.4,40.02,32.92,34.45,40.02,40.0,-5.38,1693.87,0.0
2026-06-07T11:49:47.258886,242357632,38.96,39.68,40.12,40.15,40.4,40.49,40.37,39.99,32.94,34.43,39.99,40.0,2.44,1693.97,0.0
2026-06-07T11:49:48.260049,242358667,38.93,39.68,40.15,40.15,40.4,40.46,40.37,40.05,32.93,34.45,40.02,40.0,-5.38,1693.76,0.0
2026-06-07T11:49:49.290850,242359702,38.93,39.61,40.12,40.18,40.4,40.46,40.33,40.02,32.95,34.45,39.99,40.0,2.44,1693.85,0.0
2026-06-07T11:49:50.258627,242360739,38.96,39.65,40.12,40.15,40.37,40.52,40.33,40.05,32.94,34.46,39.99,40.0,2.44,1693.95,0.0
2026-06-07T11:49:51.265138,242361773,38.96,39.65,40.15,40.15,40.4,40.49,40.37,40.02,32.92,34.48,40.02,40.0,-5.38,1693.74,0.0
2026-06-07T11:49:52.262158,242362808,38.93,39.68,40.12,40.15,40.37,40.46,40.33,40.02,32.94,34.46,39.99,40.0,2.44,1693.83,0.0
2026-06-07T11:49:53.272368,242363843,38.96,39.68,40.12,40.18,40.4,40.49,40.37,40.02,32.95,34.46,40.02,40.0,-5.38,1693.62,0.0
2026-06-07T11:49:54.252138,242364879,38.96,39.68,40.12,40.18,40.37,40.46,40.37,40.05,32.92,34.49,40.02,40.0,-5.38,1693.4,0.0
2026-06-07T11:49:55.259148,242365913,38.96,39.65,40.08,40.18,40.4,40.49,40.4,40.05,32.94,34.49,40.02,40.0,-5.38,1693.19,0.0
2026-06-07T11:49:56.274300,242366948,38.99,39.68,40.12,40.15,40.37,40.52,40.33,40.02,32.96,34.44,40.02,40.0,-5.38,1692.97,0.0
2026-06-07T11:49:57.259989,242367983,38.96,39.68,40.12,40.18,40.4,40.46,40.37,40.05,32.94,34.45,40.02,40.0,-5.38,1692.76,0.0
2026-06-07T11:49:58.259245,242369019,38.99,39.65,40.12,40.12,40.43,40.46,40.37,39.99,32.97,34.48,39.99,40.0,2.44,1692.85,0.0
2026-06-07T11:49:59.260435,242370053,38.96,39.65,40.15,40.15,40.4,40.46,40.37,40.02,32.93,34.49,39.99,40.0,2.44,1692.95,0.0
2026-06-07T11:50:00.261299,242371089,38.96,39.65,40.12,40.15,40.4,40.49,40.37,40.05,32.97,34.48,40.02,40.0,-5.38,1692.74,0.0
2026-06-07T11:50:01.258870,242372124,38.96,39.68,40.12,40.12,40.4,40.49,40.37,40.02,32.94,34.49,39.99,40.0,2.44,1692.83,0.0
2026-06-07T11:50:02.264734,242373161,38.99,39.68,40.12,40.15,40.43,40.49,40.37,40.02,32.94,34.49,40.02,40.0,-5.38,1692.62,0.0
2026-06-07T11:50:03.260436,242374197,38.96,39.61,40.12,40.12,40.4,40.46,40.33,40.02,32.94,34.48,39.99,40.0,2.44,1692.72,0.0
2026-06-07T11:50:04.259581,242375231,38.99,39.68,40.08,40.12,40.37,40.46,40.33,40.02,32.91,34.49,39.99,40.0,2.44,1692.81,0.0
2026-06-07T11:50:05.261026,242376269,38.99,39.68,40.08,40.15,40.37,40.49,40.37,40.02,32.94,34.49,39.99,40.0,2.44,1692.91,0.0
